,User,Date Created,Number of Likes,Source of Tweet,Tweet,Number of Retweet
0,#EndSARS,2023-01-13 09:28:37+00:00,0,Twitter for Android,"RT @PeterObi: Fellow Nigerians, we are one step closer to victory. In order to exercise your constitutional right to elect me as your Presi…",269
1,Aian.91,2023-01-13 09:28:36+00:00,0,Twitter for Android,"RT @NounaGAW: I will send $100 to 2 random person if #BITCOIN hit $24k in 24 hours 

Like +RT",908
2,Steven,2023-01-13 09:28:36+00:00,0,Twitter Web App,"RT @Bitcoin: #Bitcoin realized price has surpassed $24,000. https://t.co/BzcAGQdkm1",133
3,Cedric Liu,2023-01-13 09:28:34+00:00,0,Twitter for iPhone,RT @saylor: #Bitcoin Eruption. https://t.co/urvm2BHsK3,2463
4,STAN 1,2023-01-13 09:28:33+00:00,0,Twitter for iPhone,"RT @courbet_julien: Un chien c'est un membre de la famille,ça peut se temps en temps te détruire le jardin😂mais au bout du compte ça te fer…",117
5,zwartwit,2023-01-13 09:28:32+00:00,0,Twitter for iPhone,"RT @Excellion: CBDCs are completely optional and made for your safety and convenience. 
 
Unless you don’t use it (Nigeria’s eNaira CBDC on…",29
6,Zainal Abidin,2023-01-13 09:28:31+00:00,0,Twitter for Android,"RT @piplay_io: Pi Network Ecosystems 
#pi #PiNetwork #Crypto #Bitcoin #Ethereum #Airdrop #PlayToEarn https://t.co/eqHZhw1v8c",8167
7,GogoJungle_EN,2023-01-13 09:28:31+00:00,0,Twitter Web App,"RT @kggogo7: 5 min scalper/indicator (MT4)
https://t.co/iMU9vvjDmA

#metatrader #investment #EURUSD #fx #indicator #mt4 #mt5 #mql4 #mql5 #f…",1
8,Javi,2023-01-13 09:28:30+00:00,0,Twitter for iPhone,"RT @TheBitcoinConf: Fiat in Venezuela is so worthless people threw it out with the garbage

🇻🇪 needs #Bitcoin https://t.co/uVJflvrrMX",801
9,Richard,2023-01-13 09:28:30+00:00,0,Twitter Web App,RT @Bitcoin: About $10B of #Bitcoin withdrawn from exchanges over the past four months. https://t.co/dmBgr09HeR,307
